XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,0.01910388623363007,0.0003729868080932652,-999.0,-999.0
1_2,XY,1783,7466558.691916095,57574.23978733788,-999.0,-999.0
1_2,XY,872,7514869.5892626215,60381.5638736147,-999.0,-999.0
1_2,XY,41,7489645.265847439,54058.34424823501,-999.0,-999.0
1_2,XY,281,7521982.89641718,55456.2186538321,-999.0,-999.0
1_2,XY,2063,7474979.573029177,63793.77023479559,-999.0,-999.0
4_3,XY,sum,-6.69743281338194,-0.013222495117195372,-999.0,-999.0
4_3,XY,1783,7465432.872898513,77957.26554516955,-999.0,-999.0
4_3,XY,872,7423352.1619545305,63193.3485529919,-999.0,-999.0
4_3,XY,41,7487214.550692858,62754.93189611302,-999.0,-999.0
4_3,XY,281,7573999.590236764,61970.641175005185,-999.0,-999.0
4_3,XY,2063,7462526.789910416,59965.214304017856,-999.0,-999.0
5_6,XY,sum,0.10381703117343986,68260226.10674925,-999.0,-999.0
5_6,XY,1783,7419898.368348752,51532.59878546795,-999.0,-999.0
5_6,XY,872,7566115.308590812,60827.77116617832,-999.0,-999.0
5_6,XY,41,7409961.64551629,50479.19593113561,-999.0,-999.0
5_6,XY,281,7695083.845190908,67787.96972763885,-999.0,-999.0
5_6,XY,2063,7428745.658613545,50332.775155394505,-999.0,-999.0
7_8,XY,sum,0.2295135870224737,0.033012689589967656,-999.0,-999.0
7_8,XY,1783,7423195.614803353,52235.93121850312,-999.0,-999.0
7_8,XY,872,7491186.201360387,54065.20160136121,-999.0,-999.0
7_8,XY,41,7423657.152893504,55351.68736666537,-999.0,-999.0
7_8,XY,281,7335152.517087003,50447.69406277752,-999.0,-999.0
7_8,XY,2063,7353539.6900791535,51323.03729878453,-999.0,-999.0
9_10,XY,sum,21.725557293650166,0.8155517083115553,-999.0,-999.0
9_10,XY,1783,7484972.985298019,80359.05081189872,-999.0,-999.0
9_10,XY,872,7416946.087270247,57628.19566224866,-999.0,-999.0
9_10,XY,41,7410137.888248078,65651.90920705322,-999.0,-999.0
9_10,XY,281,7473660.546798942,56904.79302226158,-999.0,-999.0
9_10,XY,2063,7572944.803585529,56858.33796504414,-999.0,-999.0
11_12,XY,sum,0.07347564087394133,1.5208852081958878e+16,-999.0,-999.0
11_12,XY,1783,7595449.210731768,58371.569887902246,-999.0,-999.0
11_12,XY,872,7581492.893008378,57404.15831143478,-999.0,-999.0
11_12,XY,41,7556668.134294053,55661.9162700698,-999.0,-999.0
11_12,XY,281,7614320.842373745,55541.21635265894,-999.0,-999.0
11_12,XY,2063,7607007.0150731625,74329.84786447266,-999.0,-999.0
