Scan,Type,BCID,sigma,sigmaErr,Amp,AmpErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,Y,265,0.10460526098130113,0.0,0.5277865719118795,0.0023752719686556977,-0.0020383843073865553,0.00040285632777021136,0.10460526098130113,0.0,0.5277865719118795,0.0023752719686556977,0.13838907232824385,0.0006228117609714897,0,9.283148994803137e-14,0
10,X,265,0.13405032301159606,0.0,0.5250984890436378,0.002397935141748946,0.0008858573622148345,0.000580284939731924,0.13405032301159606,0.0,0.5250984890436378,0.002397935141748946,0.17644061691924864,0.0008057405697607507,0,1.0704125613444367e-10,0
11,Y,265,0.10487664593403935,0.0,0.5285519211181854,0.0024091188701701165,-0.0031235232708126046,0.0004030111360147254,0.10487664593403935,0.0,0.5285519211181854,0.0024091188701701165,0.1389493052305447,0.0006333254688011675,0,1.2765151874513542e-11,0
12,Y,265,0.1056364675772096,0.0,0.5286346315803301,0.002390977004551799,-0.0029467799509629573,0.00040712997745046345,0.1056364675772096,0.0,0.5286346315803301,0.002390977004551799,0.13997788116850884,0.0006331100443027466,0,7.477366762893673e-12,0
13,Y,265,0.10554559981618451,0.0,0.527298579242059,0.0024128329863372755,-0.0024470826364166066,0.0004097337656333662,0.10554559981618451,0.0,0.527298579242059,0.0024128329863372755,0.1395040023642607,0.0006383477442977209,0,6.044596031776483e-09,0
14,Y,265,0.10535827331505963,0.0,0.5301261630752186,0.002390399374518328,-0.0003127686198046439,0.0004007709749519638,0.10535827331505963,0.0,0.5301261630752186,0.002390399374518328,0.1400031531492248,0.0006312901966149816,0,3.067292888121199e-15,0
15,Y,265,0.10439343507270143,0.0,0.5288584223564778,0.002383720503254688,0.002277719596010491,0.00039879314189233907,0.10439343507270143,0.0,0.5288584223564778,0.002383720503254688,0.13838931115891823,0.0006237613404565373,0,2.3367515457494112e-11,0
16,X,265,0.13048931307555942,0.0,0.5315928556181645,0.002393509426670819,0.00019451479081814804,0.0005567693794081245,0.13048931307555942,0.0,0.5315928556181645,0.002393509426670819,0.17387775117665918,0.0007828886941035031,0,8.463013631996183e-12,0
17,X,265,0.13402388289151,0.0,0.5280847935478992,0.0023913614603108704,-0.001339673569757389,0.0005779007927231511,0.13402388289151,0.0,0.5280847935478992,0.0023913614603108704,0.17740905891457046,0.0008033732297952328,0,3.9399725669843736e-11,0
18,X,265,0.1336828719397234,0.0,0.5264979715124721,0.002393544434918809,-0.001586819584773017,0.0005774978617771657,0.1336828719397234,0.0,0.5264979715124721,0.002393544434918809,0.17642592515238747,0.0008020606235401154,0,1.12493909425187e-10,0
19,X,265,0.13178581852345087,0.0,0.5314510088164554,0.0024230982627389697,-0.0007372808304657202,0.0005848524637792287,0.13178581852345087,0.0,0.5314510088164554,0.0024230982627389697,0.17555849465620776,0.0008004415766523506,0,1.400472526504121e-11,0
2,Y,265,0.10464124724019569,0.0,0.5295663999766886,0.002435258886594683,0.0006650290578459288,0.0003966941811753446,0.10464124724019569,0.0,0.5295663999766886,0.002435258886594683,0.13890352392406394,0.0006387603915774949,0,2.3865090581883157e-10,0
20,X,265,0.13134619251685936,0.0,0.5289085421855888,0.002385172110267556,-0.004318490110914093,0.0005650353346253903,0.13134619251685936,0.0,0.5289085421855888,0.002385172110267556,0.17413577506955638,0.0007852847155378146,0,4.3104766157947485e-11,0
3,Y,265,0.10383804858064404,0.0,0.5270315838233897,0.0024295357881006898,0.0030482979332746565,0.0003953512396492189,0.10383804858064404,0.0,0.5270315838233897,0.0024295357881006898,0.13717756651292848,0.000632367807541882,0,3.567663956709753e-11,0
4,Y,265,0.10401698165944993,0.0,0.5258982801489623,0.0023501596117302403,0.003913175474327236,0.000398257141465787,0.10401698165944993,0.0,0.5258982801489623,0.0023501596117302403,0.1371184616129106,0.0006127615979538238,0,3.4725721913933626e-11,0
5,Y,265,0.10394557005988869,0.0,0.5290414113006072,0.002377698508592166,0.0055587387197833125,0.00039869478642577265,0.10394557005988869,0.0,0.5290414113006072,0.002377698508592166,0.1378432765451555,0.0006195162534727223,0,5.288315156758512e-09,0
6,X,265,0.13545480538498098,0.0,0.5241747707231977,0.0023431450317389518,0.0025087554371660365,0.0005902486358649765,0.13545480538498098,0.0,0.5241747707231977,0.0023431450317389518,0.17797559958945075,0.00079557938542792,0,1.0099313510677771e-09,0
7,X,265,0.13362178145853432,0.0,0.5307136417437991,0.0024438439748270175,0.0016063063167435399,0.0005696182144860749,0.13362178145853432,0.0,0.5307136417437991,0.0024438439748270175,0.17775729908295307,0.0008185414320951448,0,9.446587007234242e-11,0
8,X,265,0.13374961235997618,0.0,0.5244888322626101,0.002433545740630727,0.004501265068600208,0.0005807379122305659,0.13374961235997618,0.0,0.5244888322626101,0.002433545740630727,0.1758404196508642,0.0008158719079414525,0,5.725562404973047e-11,0
9,X,265,0.13522550135548284,0.0,0.5264254113282671,0.002352436998629582,0.0016584892933434246,0.0005859499179794249,0.13522550135548284,0.0,0.5264254113282671,0.002352436998629582,0.1784371917198164,0.0007973821983139447,0,1.5698759772918336e-10,0
